report_id,apt_group
15-2013-youonlyclicktwice.pdf,
19-2013-acalltoharm.pdf,
2013-9.pdf,
20180503_Burning_Umbrella.pdf,
20180713_CSE_APT28_X-Agent_Op-Roman Holiday-Report_v6_1.pdf,
20180723_CSE_APT27_Syria_v1.pdf,
20BICSE.pdf,
3ve_google_whiteops_whitepaper_final_nov_2018.pdf,
556_10535_798405_Annex87_CyberAttacks.pdf,Lazarus Group
<MWS_SAMPLE_DIR>\~$pcm1tg.doc,
A Slice of 2017 Sofacy Activity - Securelist.pdf,
A dive into Turla PowerShell usage.pdf,Turla (Snake / Venomous Bear)
A journey to Zebrocy land.pdf,
ANALYSIS-ON-APT-TO-BE-ATTACK-THAT-FOCUSING-ON-CHINAS-GOVERNMENT-AGENCY-.pdf,
APT10 Targeted Norwegian MSP and US Companies in Sustained Campaign.pdf,APT1 / Comment Crew
APT10 Targeting Japanese Corporations Using Updated TTPs.pdf,
APT37_Final1stspyReapingtheFreeMilk-Intezer.pdf,APT1 / Comment Crew
ASERT-Threat-Intelligence-Brief-2014-07-Illuminating-Etumbot-APT.pdf,
ATMitch_ New Evidence Spotted In The Wild.pdf,
Above+Us+Only+Stars.pdf,
Accenture-Hogfish-Threat-Analysis.pdf,
Accenture-Security-Dragonfish-Threat-Analysis.pdf,
AdversaryIntelligenceReport_DeepPanda_0 (1).pdf,
Agent.BTZ_to_ComRAT.pdf,
"Aggah Campaign_ Bit.ly, BlogSpot, and Pastebin Used for C2 in Large Scale Campaign.pdf",
Ahnlab_Targeted-Attack-on-Frances-TV5Monde(May-5-15).pdf,
Aided_Frame_Aided_Direction.pdf,
An-APT-Blueprint-Gaining-New-Visibility-into-Financial-Threats-interactive.pdf,
Analyzing Digital Quartermasters in Asia  Do Chinese and Indian APTs Have a Shared Supply Chain.pdf,
Anthem_hack_all_roads_lead_to_China.pdf,
Anunak_APT_against_financial_institutions.pdf,
Appendix-TheUrpageConnectiontoBahamutConfuciusandPatchwork.pdf,
ArborNetworks_Additional-Insights-Shamoon2(02-21-2017).pdf,
Arbor_The-Four-Element-Sword-Engagement(4-13-16).pdf,
Arbor_Uncovering-the-Seven-Pointed-Dagger(Jan-11-16).pdf,
Ashmore_Impact-of-Alleged-Russian-Cyber-Attacks(Jan-18-09).pdf,
Attacks against Israeli & Palestinian interests - Cyber security updates.pdf,
Aurora_Botnet_Command_Structure.pdf,
Aurora_HBGARY_DRAFT.pdf,
Avast tracks down Tempting Cedar Spyware.pdf,
BAESystems_Lazarus-FalseFlag-Malware(02-20-2017).pdf,Lazarus Group
BAESystems_Lazarus-Watering-hole-attacks(02-12-2017).pdf,Lazarus Group
BAESytems_Taiwan-Heist-Lazarus-Tools-Ransomware(10-16-2017).pdf,Lazarus Group
Backdoor.Winnti_Trojan.Skelky.pdf,
Badcyber_Polish-banks-hacked-information-stolen-unknown-attackers(02-03-2017).pdf,
Bitdefender-Business-2017-WhitePaper-PZCHAO-crea2452-en-EN-GenericUse.pdf,
Bitdefender-Whitepaper-APT-Mac-A4-en-EN-web(02-23-2017).pdf,
Bitdefender_Pacifier-APT(7-1-2016).pdf,
BlackEnergy2_Plugins_Router.pdf,
BlackTDS.pdf,
Bluecoat_FROM_SEOUL_TO_SONY(2-24-16).pdf,
Buckeye_ Espionage Outfit Used Equation Group Tools Prior to Shadow Brokers Leak.pdf,
ByeBye_Shell_target.pdf,
C5_APT_ADecadeInReview.pdf,
C5_APT_SKHack.pdf,
CN_OceanLotus_new_malware.pdf,
Carbanak_APT_eng.pdf, FIN7 / Carbanak
Chafer used Remexi malware to spy on Iran-based foreign diplomatic entities.pdf,
Chafer_ Latest Attacks Reveal Heightened Ambitions _ Symantec Blogs.pdf,
Checkpoint_rocket-kitten-report(Nov-9-2015).pdf,
ChessMaster Adds Updated Tools to Its Arsenal.pdf,
China_Peace_Palace.pdf,
Chinese_MITM_Google.pdf,
Chineses Actor APT target Ministry of Justice Vietnamese.pdf,
CitizenLab-Stealth_Falcon(05-29-2016).pdf,
CitizenLab_Mapping-FinFishers-Continuing-Proliferation(Oct-15-15).pdf,
Citizenlab_Campaign-Chinese-language-news-sites(07-05-2017).pdf,
Citizenlab_KeyBoy-targeting-Tibetan-Community(11-17-2016).pdf,
Citizenlab_NSO_iPhone_ZeroDays_UAE(08-24-2016).pdf,
Citizenlab_NilePhish-Large-Scale-Targeting-Egyptian(02-02-2017).pdf,
ClearSky_Operation-Electric-Powder-targeting-Israel-Electric-Company(03-14-2017).pdf,
Clearsky_Charming-Kitten-2017(12-05-2017).csv,
Clearsky_Charming_Kitten_2017(12-05-2017).pdf,
Clearsky_Iranian-OilRig-Delivers-Signed-Oxford(01-05-2017).pdf,
Clearsky_Operation-DustySky-indicators(Jan-7-2016).xlsx,
Clearsky_Operation-DustySky2(6-9-16).pdf,
Clearsky_Operation-DustySky2-indicators(6-9-16).xlsx,
Clearsky_Operation-DustySky_TLP_WHITE(Jan-7-2016).pdf,
Clearsky_Operation_Wilted_Tulip(07-25-2017).pdf,
Clearskysec_IranianThreatAgent-Greenbug(10-24-2017).pdf,
CloudAtlas_RedOctober_APT.pdf,
CmstarDownloader_Lurid_Enfal_Cousin.pdf,
Compromise_Greece_Beijing.pdf,
Confucius_Update.pdf,
CozyDuke.pdf,
Crouching_tiger_hidden_dragon.pdf,
CrowdStrike_BearsintheMidst_DNC(06-04-2016).pdf,
CrowdStrike_Flying_Kitten.pdf,
Crowdstrike_FancyBearTracksUkrainianArtillery(12-22-2016).pdf,
Crowdstrike_The French Connection(Feb-25-14).pdf,
Crypto-DarkComet-Report.pdf,
Cyber Heist Attribution_SWIFT.pdf,
Cyber Heist_SWIFT.pdf,
Cyber-Espionage Campaign Targeting the Naval Industry MartyMcFly.pdf,
CyberInt_Legit Remote Access Tools Turn Into Threat Actors' Tools_Report.pdf,
Cyberattack_against_Israeli_and_Palestinian_targets.pdf,
Cybereason_Large-Scale-APT-Asia(05-24-2017).pdf,
Cyberkov-Hunting-Libyan-Scorpions-EN(9-18-16).pdf,
Cylance SPEAR Team_ A Threat Actor Resurfaces.pdf,
Cylance_DeceptionProject-New-Japanese-Centric-Threat(02-27-2017).pdf,
Cylance_Op_Dust_Storm_Report(Feb-23-2016).pdf,
Cylance_Operation_Cleaver_Report.pdf,
Cymmetria_Unveiling-Patchwork(Jul-7-16)(1).pdf,
Cymmetria_Unveiling-Patchwork(Jul-7-16).pdf,
Cysinfo-Targeting-Indian-Navys-Submarine-Warship-Manufacturer(02-10-2017).pdf,
Cysinfo-Uri-KashmirProtest-Phishing-targeting-Indian-Embassies(01-19-2017).pdf,
Cysinfo_Attack-Impersonating-Indian-Think-Tank-Target-CBIpdf(05-11-2017).pdf,
Cysinfo_NIC-CyberSecurity-Themed-Spear-Phishing-Target-India(11-30-2016).pdf,
DEEP_PANDA_Sakula.pdf,
DMSniff_iocs_March2019.txt,
DNS Hijacking Abuses Trust In Core Internet Service.pdf,
DNSpionage Campaign Targets Middle East.pdf,
DTL-12012015-01.pdf,
DarkHydrus delivers new Trojan that can use Google Drive for C2 communications.pdf,
DarkPulsar.pdf,
Darkhotel in 2015.pdf,DarkHotel
Darwin_fav_APT_Group.pdf,
Defeating Compiler-Level Obfuscations Used in APT10 Malware.pdf,APT1 / Comment Crew
Democracy_HongKong_Under_Attack.pdf,
Derusbi_Server_Analysis-Final.pdf,
"Desktop, Mobile Phishing Campaign Targets South Korean Websites, Steals Credentials Via Watering Hole.pdf",
Dissecting-LinuxMoose.pdf,
Dissecting-the-Kraken.pdf,
Domestic Kitten An Iranian Surveillance Operation.pdf,
Donot Team in South Asia.pdf,
Double the Infection Double the Fun.pdf,
Dragonfly_Threat_Against_Western_Energy_Suppliers.pdf,
Dragos_Win32_Industroyer(06-12-2017).pdf,
Duke_cloud_Linux.pdf,
Duqu_Trojan_Questions_and_Answers.pdf,
E-ISAC_SANS_Ukraine_DUC_5.pdf,
EB-YetiJuly2014-Public.pdf,
EFF_OperationManul(08-03-2016).pdf,
ESET-LightNeuron.pdf,
ESET-LoJax.pdf,
ESET-Visiting_The_Bear_Den(6-21-2016).pdf,
ESET_BlackEnergy-by-the-SSHBearDoor(Jan-3-16).pdf,
ESET_CrashOverride-01(06-12-2017).pdf,
ESET_Dino_French.pdf,
ESET_Gazer(08-30-2017).pdf,
ESET_GreyEnergy.pdf,
ESET_OceanLotus.pdf,
ESET_Operation-Groundbait(5-17-16).pdf,
ESET_TeleBots-Supply-chain-attacks-against-Ukraine(06-30-2017).pdf,
ESET_Turla_Mosquito.pdf,Turla (Snake / Venomous Bear)
ESET_targeting-Central-and-EasternEurope(07-01-2016).pdf,
ETSO_APT_Attacks_Analysis.pdf,
El_Machete.pdf,
Elephantosis.pdf,
Elfin Relentless Espionage Group Targets Multiple Organizations in Saudi Arabia and US.pdf,
Emissary Panda Attacks Middle East Government Sharepoint Servers.pdf,
EpicTurla.pdf,Turla (Snake / Venomous Bear) 
Equation_group_questions_and_answers.pdf,
Eset-Turla-Outlook-Backdoor.pdf,Turla (Snake / Venomous Bear)
EvilBunny_Suspect4_v1.0.pdf,
Evolution_Drivers_Duqu_Stuxnet.pdf,
Executive_Summary-Final_1.pdf,
FASTCash How the Lazarus Group is Emptying Millions from ATMs.pdf,Lazarus Group
FBI-GovernmentSpearphishing.pdf,
FIN7.5_ the infamous cybercrime rig “FIN7” continues its activities.pdf,
FINTEAM Trojanized TeamViewer Against Government Targets.pdf,
FSOFACY.pdf,
FTA 1001 FINAL 1.15.14.pdf,
FTA 1007 - Shamoon.pdf,
FTA 1010 - njRAT The Saga Continues.pdf,
FTA 1011 Follow UP.pdf,
FTA 1012 STTEAM Final.pdf,
FTA_1013_RAT_in_a_jar.pdf,
FTA_1014_Bots_Machines_and_the_Matrix.pdf,
Faces_Ghost_RAT.pdf,
